"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
9,11749307,4988,5.85610718802138,0.234987830160152,8487000,0.005,10,0.1,"0",1,0
32,11750155,171,3.35019944571556,0.156783706465207,0,0.005,10,0.1,"0",1,0
50,11749077,1681,4.23519992699266,0.18729699107917,3258900,0.005,10,0.1,"0",1,0
63,11749037,2457,4.73936800769706,0.202639153131321,4194000,0.005,10,0.1,"0",1,0
75,11749643,1413,3.34598688725082,0.158812990316458,1710900,0.005,10,0.1,"0",1,0
87,11748895,2125,4.14790200845751,0.184586102775615,2837700,0.005,10,0.1,"0",1,0
101,11748775,4400,6.13852052169404,0.242864287324809,7027200,0.005,10,0.1,"0",1,0
109,11748753,2089,4.02765472279395,0.180823812623112,2199600,0.005,10,0.1,"0",1,0
115,11749059,3651,5.46496959665664,0.223887828490272,6034500,0.005,10,0.1,"0",1,0
128,11747905,3500,7.00369143378789,0.2663470933346,5106600,0.005,10,0.1,"0",1,0
140,11747807,3333,8.46050040725072,0.304015897696839,6040800,0.005,10,0.1,"0",1,0
156,11748389,3023,7.39044692067517,0.276559480343415,5557500,0.005,10,0.1,"0",1,0
174,11750419,1737,2.74027460684357,0.138094034942597,788400,0.005,10,0.1,"0",1,0
195,11750533,2914,4.96225624009765,0.209263984154632,3285900,0.005,10,0.1,"0",1,0
203,11749129,4181,6.15467930911554,0.243311624953913,7105500,0.005,10,0.1,"0",1,0
205,11750539,2041,4.34077269172138,0.190553087486379,2755800,0.005,10,0.1,"0",1,0
209,11749335,2351,4.10662775369887,0.18329845126224,3190500,0.005,10,0.1,"0",1,0
227,11748107,402,1.92156312387656,0.107715280811905,197100,0.005,10,0.1,"0",1,0
233,11747885,2326,5.10897464699911,0.21357611495731,2343600,0.005,10,0.1,"0",1,0
237,11750543,2205,3.78596899344928,0.173158173419336,1881900,0.005,10,0.1,"0",1,0
243,11750365,1773,3.63045921565048,0.168148172878514,1388700,0.005,10,0.1,"0",1,0
244,11749689,6562,7.03837142862522,0.267269613822781,12428100,0.005,10,0.1,"0",1,0
247,11748835,3324,4.23164171759886,0.187186826704549,2691000,0.005,10,0.1,"0",1,0
248,11749731,8541,7.51268010189705,0.27975347283294,15127200,0.005,10,0.1,"0",1,0
249,11749319,6323,6.52383671091166,0.253437698807734,10593900,0.005,10,0.1,"0",1,0
251,11748861,3776,5.05255412099689,0.211922340106072,3319200,0.005,10,0.1,"0",1,0
255,11749185,2037,3.76680416030885,0.172544129564317,2583900,0.005,10,0.1,"0",1,0
260,11749051,2233,2.95321203332687,0.145520875702538,1389600,0.005,10,0.1,"0",1,0
266,11748719,3745,6.02809494756275,0.239797757772008,5862600,0.005,10,0.1,"0",1,0
268,11749385,4687,5.47545929345707,0.224188559875431,6884100,0.005,10,0.1,"0",1,0
269,11749769,8532,8.10447103608776,0.295002931134934,19564200,0.005,10,0.1,"0",1,0
273,11750631,1615,3.88145112086391,0.176203667673728,2123100,0.005,10,0.1,"0",1,0
278,11748987,3206,4.63236280445023,0.199425575967545,3872700,0.005,10,0.1,"0",1,0
284,11747979,3071,4.51923042793789,0.196003668121427,1780200,0.005,10,0.1,"0",1,0
294,11750655,1542,2.96371748344538,0.145883045252045,1194300,0.005,10,0.1,"0",1,0
298,11749095,4047,4.67916745367228,0.20083392236774,4122000,0.005,10,0.1,"0",1,0
300,11748845,6291,7.14447782248324,0.270083718101304,7576200,0.005,10,0.1,"0",1,0
307,11750817,1173,2.43413765869541,0.1271044201588,921600,0.005,10,0.1,"0",1,0
311,11749623,3446,4.31176595448557,0.189660846372358,2403000,0.005,10,0.1,"0",1,0
316,11748797,3630,4.92202846304258,0.208075019275969,4083300,0.005,10,0.1,"0",1,0
320,11750165,222,1.63400005516363,0.0961602327346271,344700,0.005,10,0.1,"0",1,0
322,11750635,1522,3.1295955011415,0.151551697485298,1170900,0.005,10,0.1,"0",1,0
332,11748425,2855,6.08753389349121,0.241450458004529,3094200,0.005,10,0.1,"0",1,0
333,11749531,1280,2.71940436959655,0.137356973379225,1310400,0.005,10,0.1,"0",1,0
334,11749775,917,1.91944325075948,0.107632084808246,546300,0.005,10,0.1,"0",1,0
335,11749519,1565,3.61103061066079,0.16751776803394,2572200,0.005,10,0.1,"0",1,0
336,11749503,1510,2.66623604840275,0.135471542608976,1209600,0.005,10,0.1,"0",1,0
337,11749499,1878,3.39570088829129,0.160461060715898,2198700,0.005,10,0.1,"0",1,0
340,11749489,933,2.35600516676565,0.124234559930085,882900,0.005,10,0.1,"0",1,0
342,11750809,1779,2.87210999441474,0.142711774661114,1415700,0.005,10,0.1,"0",1,0
345,11750823,1611,2.97648804974033,0.146322785222102,1528200,0.005,10,0.1,"0",1,0
346,11750821,2391,3.54913803189948,0.165502699554753,2353500,0.005,10,0.1,"0",1,0
348,11749491,2079,3.62341091043469,0.167919592001912,2550600,0.005,10,0.1,"0",1,0
349,11750825,381,2.89388416188084,0.143468269204258,1438200,0.005,10,0.1,"0",1,0
351,11749479,2073,3.10024410037703,0.150555346173119,1749600,0.005,10,0.1,"0",1,0
353,11749379,4066,4.75395091018296,0.20307541244801,4816800,0.005,10,0.1,"0",1,0
355,11750173,174,0.896335661458389,0.0631609322955566,73800,0.005,10,0.1,"0",1,0
358,11750161,193,2.98572841977012,0.146640613991522,1408500,0.005,10,0.1,"0",1,0
359,11750903,135,1.09102059226234,0.0724773193865107,126000,0.005,10,0.1,"0",1,0
362,11750763,919,2.40174927573827,0.125918176816008,864900,0.005,10,0.1,"0",1,0
363,11750757,1432,3.75591204561915,0.172194727103799,2528100,0.005,10,0.1,"0",1,0
365,11750899,212,1.40569521790099,0.0865451781308513,221400,0.005,10,0.1,"0",1,0
366,11749271,1547,3.83452848452929,0.174709868464602,2536200,0.005,10,0.1,"0",1,0
368,11750705,1589,3.64274848326249,0.168546403253663,2167200,0.005,10,0.1,"0",1,0
370,11750665,1494,2.92375591113086,0.14450332423945,1183500,0.005,10,0.1,"0",1,0
371,11750679,2353,3.24440039835738,0.155422242625399,1520100,0.005,10,0.1,"0",1,0
372,11750699,1804,3.18402341203982,0.153391903099858,1501200,0.005,10,0.1,"0",1,0
373,11750707,2010,3.50703401767896,0.164125871020487,1930500,0.005,10,0.1,"0",1,0
376,11750685,1331,3.22582956856066,0.15479896473,1507500,0.005,10,0.1,"0",1,0
382,11750841,1595,4.41885766473704,0.192946128111827,3063600,0.005,10,0.1,"0",1,0
384,11750839,1439,3.71019359059313,0.170724818056971,1948500,0.005,10,0.1,"0",1,0
385,11750651,1700,3.67927719820356,0.169727734850753,1951200,0.005,10,0.1,"0",1,0
388,11750669,1216,2.71415213242874,0.137171216375826,946800,0.005,10,0.1,"0",1,0
389,11750653,2065,3.59948189975313,0.167142561977724,1816200,0.005,10,0.1,"0",1,0
390,11750835,1501,3.00523420126624,0.147310561488533,1147500,0.005,10,0.1,"0",1,0
391,11750661,1685,3.35385254370653,0.159074231590009,1543500,0.005,10,0.1,"0",1,0
392,11750641,1645,3.8524196683447,0.175280084127849,2061900,0.005,10,0.1,"0",1,0
393,11750639,2759,3.98077628009489,0.179347983726665,2175300,0.005,10,0.1,"0",1,0
394,11750691,1870,3.49036709282816,0.163579483584646,1772100,0.005,10,0.1,"0",1,0
400,11750701,1465,2.93440717153491,0.144871621727041,1148400,0.005,10,0.1,"0",1,0
402,11750901,226,2.35600516676565,0.124234559930085,722700,0.005,10,0.1,"0",1,0
